id_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,anunciante,anunciante_link,link_inmueble,m2_construidos,m2_utiles,terraza,estado,planta,exterior,ascensor,fecha_inclusion
104956078,Masía en venta en Partida Riquer Baix,Barri Santa Rosa,1200.0,16000.0,5.0,5.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/104956078/,,,,,,,,2025-08-23
108000656,Ático en venta en Alameda Camilo Sesto,Barri Eixample,180000.0,100.0,3.0,1.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/108000656/,,,,,,,,2025-08-23
108009043,Piso en venta en Calle Pintor Cabrera,Barri Eixample,200000.0,145.0,4.0,1.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/108009043/,,,,,,,,2025-08-23
103297292,Ático en venta en Calle Sant Nicolau,Centro - Zona Alta,148000.0,115.0,4.0,1.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/103297292/,,,,,,,,2025-08-23
107759467,Ático en venta en Calle Sant Mateu,Centro - Zona Alta,129000.0,140.0,3.0,1.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/107759467/,,,,,,,,2025-08-23
107817536,Piso en venta en Calle Gabriel Miró,Barri Zona Nord,170000.0,190.0,3.0,2.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/107817536/,,,,,,,,2025-08-23
108566822,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,124999.0,115.0,4.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108566822/,,,,,,,,2025-08-23
107748751,Piso en venta en Maestro Espí,Barri Eixample,150000.0,100.0,3.0,2.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/107748751/,,,,,,,,2025-08-23
107630745,Casa o chalet independiente en venta en Calle Sant Antoni,Centro - Zona Alta,289000.0,464.0,4.0,3.0,Hipoges,https://www.idealista.com/pro/realestate-hipoges/,https://www.idealista.com/inmueble/107630745/,,,,,,,,2025-08-23
101375541,Casa o chalet en venta en Calle Forn del Vidre,Centro - Zona Alta,170000.0,322.0,1.0,1.0,Hipoges,https://www.idealista.com/pro/realestate-hipoges/,https://www.idealista.com/inmueble/101375541/,,,,,,,,2025-08-23
108062957,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,567000.0,430.0,7.0,5.0,Inmobiliaria Euro,https://www.idealista.com/pro/inmobiliaria-euro/,https://www.idealista.com/inmueble/108062957/,,,,,,,,2025-08-23
105055632,"Piso en venta en Calle Santa Rosa, 15",Barri Santa Rosa,139000.0,158.0,4.0,2.0,Inversiones Car&Mar,https://www.idealista.com/pro/inversiones-car-mar/,https://www.idealista.com/inmueble/105055632/,,,,,,,,2025-08-23
107654480,Casa o chalet independiente en venta en Urbanización El Sargento,Barri Batoi - Sargento - Baradello,365000.0,400.0,4.0,2.0,Maravillas International Realty Group,https://www.idealista.com/pro/maravillasrealty/,https://www.idealista.com/inmueble/107654480/,,,,,,,,2025-08-23
108932013,"Piso en venta en Avenida Tirant lo Blanc, 36",Barri Zona Nord,180000.0,120.0,3.0,2.0,,,https://www.idealista.com/inmueble/108932013/,,,,,,,,2025-08-23
102488152,Masía en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,4300.0,1850.0,10.0,10.0,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/102488152/,,,,,,,,2025-08-23
108972407,"Ático en venta en Calle València, 20",Barri Zona Nord,180000.0,95.0,3.0,2.0,,,https://www.idealista.com/inmueble/108972407/,,,,,,,,2025-08-23
108385281,Chalet adosado en venta en Centro - Zona Alta,Alcoy / Alcoi,280000.0,234.0,3.0,4.0,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/108385281/,,,,,,,,2025-08-23
101928059,Ático en venta en Barri Eixample,Alcoy / Alcoi,178000.0,100.0,3.0,2.0,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/101928059/,,,,,,,,2025-08-23
99914687,Ático en venta en Centro - Zona Alta,Alcoy / Alcoi,185000.0,150.0,3.0,2.0,Tarrazó Inmobiliaria,https://www.idealista.com/pro/tarrazo/,https://www.idealista.com/inmueble/99914687/,,,,,,,,2025-08-23
101437728,Ático en venta en Casa Blanca,Centro - Zona Alta,69000.0,55.0,,1.0,Soñar Home Consulting,https://www.idealista.com/pro/sonarhomeconsulting/,https://www.idealista.com/inmueble/101437728/,,,,,,,,2025-08-23
104706688,Piso en venta en Alameda Camilo Sesto,Barri Eixample,185000.0,268.0,6.0,1.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/104706688/,,,,,,,,2025-08-23
100699241,Casa o chalet independiente en venta en Partida Barxell,Barri Batoi - Sargento - Baradello,154000.0,100.0,1.0,1.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/100699241/,,,,,,,,2025-08-23
